foto,strana,slogan,name,scenari,rezhisser,nameang,genre,dlina
,,,Сказки стриптиз-клуба (,,,,,
/storage/1180736_500x800x250.jpg,Италия,,Сказки стриптиз-клуба (,Абель Феррара,Абель Феррара,Go Go Tales,Драма, 96 мин.
,,,Тринадцатый отдел (,,,,,
/storage/208388_500x800x250.jpg,Франция,,Тринадцатый отдел (,Жиль Беа,Жиль Беа,Diamant 13,Боевик, 100 мин.
,,,Дом (,,,,,
/storage/1300795_500x800x250.jpg,Швейцария,,Дом (,Урсула Майер,Урсула Майер,Home,Драма, 98 мин.
/storage/1172260_500x800x250.jpg,Польша,,Ковчег (,Гржегорж Йонкайтис,Гржегорж Йонкайтис,Arka,Мультфильм, 8 мин.
/storage/1209447_500x800x250.jpg,США,,Время одиночества (,Rod Blackhurst,Rod Blackhurst,Alone Time,Триллер, 13 мин.
/storage/1221027_500x800x250.jpg,Австралия,,Приземление (,Josh Tanner,Josh Tanner,The Landing,Фантастика, 18 мин.
/storage/1683811_500x800x250.jpg,США,,Аномализа (,Чарли Кауфман,Дьюк Джонсон,Anomalisa,Мультфильм, 90 мин.
,,,Призрак (,,,,,
/storage/224630_500x800x250.jpg,Германия,,Призрак (,Роберт Харрис,Роман Полански,The Ghost Writer,Триллер, 128 мин.
/storage/1683676_500x800x250.jpg,Россия,,Ледяная страсть (,Арина Одноробова,Владимир Чубриков,,Мелодрама, 100 мин.
/storage/285342_500x800x250.jpg,США,,Похищенная призраками (,Боб Бэдуэй,Боб Бэдуэй,The Uninvited,Ужасы, 93 мин.
,,,Тринадцать (,,,,,
/storage/206703_500x800x250.jpg,Германия,,Тринадцать (,Дерек Болл,Кит Райан,Botched,Ужасы, 88 мин.
,,,Твари из бездны (,,,,,
/storage/1160010_500x800x250.jpg,США,,Твари из бездны (,Нил Элман,Пол Зиллер,Troglodyte,Ужасы, 84 мин.
/storage/1221736_500x800x250.jpg,Тайвань,,Девушка и парень (,Ya-che Yang,Ya-che Yang,Girlfriend Boyfriend,Драма, 106 мин.
,,,Дай мне руку (,,,,,
/storage/1683557_500x800x250.jpg,Франция,,Дай мне руку (,Pascal-Alex Vincent,Pascal-Alex Vincent,Donne-moi la main,Драма, 80 мин.
,,,Контакт (,,,,,
/storage/1631799_500x800x250.jpg,США,,007: СПЕКТР (,Джон Логан,Сэм Мендес,Spectre,Боевик, 148 мин.
/storage/1646226_500x800x250.jpg,Япония,,Имитация любви (,,Юкихико Цуцуми,Initiation Love,Мелодрама, 109 мин.
,,,Джек Айриш: Тупик (,,,,,
/storage/1683238_500x800x250.jpg,Австралия,,Джек Айриш: Тупик (,Мэтт Кэмерон,Джеффри Уокер,Jack Irish: Dead Point,Драма, 83 мин.
/storage/1682045_500x800x250.jpg,Южная Корея,,Алиса: Парень из страны чудес (,,,Alice: Boy from Wonderland,Ужасы, 117 мин.
/storage/1682047_500x800x250.jpg,Канада,,Жозеф и Эме (,Leslie Gottlieb,Бен Ширини,Josef et Aimee,Драма, 18 мин.
,,,Наживка (,,,,,
/storage/1682065_500x800x250.jpg,Великобритания,,Наживка (,Paul Roundell,Доминик Брант,Bait,Триллер, 82 мин.
,,,Капитан Саблезуб и сокровища Лама Рама (,,,,,
/storage/1481541_500x800x250.jpg,Норвегия,,Капитан Саблезуб и сокровища Лама Рама (,Ларс Андреас Хеллебаст,Йон Андреас Андерсен,Kaptein Sabeltann og skatten i Lama Rama,Приключения, 92 мин.
/storage/1668383_500x800x250.jpg,Мексика,,Посетители (,Acan Coen,Acan Coen,Visitantes,Ужасы, 100 мин.
,,,Норм и Несокрушимые (,,,,,
/storage/1680439_500x800x250.jpg,США,,Норм и Несокрушимые (,Джек Дональдсон,Trevor Wall,Norm of the North,Мультфильм, 90 мин.
/storage/1642211_500x800x250.jpg,Южная Корея,,Воспоминания меча (,Хон Сик Пак,Хон Сик Пак,Hyeomnyeo: Kar-ui gi-eok,Драма, 120 мин.
,,,Потерянный север (,,,,,
/storage/1555673_500x800x250.jpg,Испания,,Потерянный север (,Начо Г. Велилья,Начо Г. Велилья,Perdiendo el norte,Комедия, 102 мин.
,,,Нина навсегда (,,,,,
/storage/1682370_500x800x250.jpg,Великобритания,,Нина навсегда (,Бен Блейн,Бен Блейн,Nina Forever,Ужасы, 98 мин.
,,,Голоса большой страны (,,,,,
/storage/1633811_500x800x250.jpg,Россия,,Голоса большой страны (,Андрей Гаврилов,Таир Мамедов,,Мюзикл, 101 мин.
/storage/1681368_500x800x250.jpg,Индия,,Сар (,Александр Попов,Александр Попов,Sar,Приключения, 38 мин.
,,,Незваная (,,,,,
/storage/1185107_500x800x250.jpg,Бразилия,,Ладно (,Рафаэль Лесса,Фелипе Шолл,Ta,Драма, 5 мин.
/storage/1683029_500x800x250.jpg,Франция,,Комическая иллюзия (,Пьер Корнель,Матьё Амальрик,L'illusion comique,, 80 мин.
/storage/1683583_500x800x250.jpg,США,,Контакт (,Роберт Конуэй,Роберт Конуэй,The Encounter,Ужасы, 85 мин.
/storage/1683015_500x800x250.jpg,США,,Незваная (,Брэт Вуд,Брэт Вуд,The Unwanted,Ужасы, 95 мин.
,,,Мусульманин (,,,,,
,,,Невинные убийцы (,,,,,
/storage/291247_500x800x250.jpg,Гонконг,,Раскрашенная кожа (,Songling Pu,Гордон Чан,Wa pei,Боевик, 103 мин.
/storage/1686607_500x800x250.jpg,США,,Мусульманин (,Qasim Basir,Qasim Basir,Mooz-Lum,Драма, 99 мин.
/storage/1684789_500x800x250.jpg,Испания,,Невинные убийцы (,Х.М. Асенсио,Gonzalo Bendala,Asesinos inocentes,Комедия, 95 мин.
,,,Слабоумие (,,,,,
,,,Рождество (,,,,,
,,,В центре внимания (,,,,,
/storage/1627893_500x800x250.jpg,США,,Рождество (,Джонатан Левин,Джонатан Левин,The Night Before,Комедия, 101 мин.
/storage/1663737_500x800x250.jpg,США,,В центре внимания (,Том МакКарти,Том МакКарти,Spotlight,Триллер, 128 мин.
,,,Барабанщик (,,,,,
/storage/292837_500x800x250.jpg,Германия,,Барабанщик (,Кеннет Ли,Кеннет Ли,Zhan. gu,Драма, 118 мин.
/storage/1183872_500x800x250.jpg,Узбекистан,,Подкидыш (,Евгения Палехова,Бахром Якубов,Tashlandiq,Драма, 85 мин.
,,,Два ствола (,,,,,
/storage/1686823_500x800x250.jpg,Нидерланды,,Два ствола (,Вийо Кук,Мартин Смитс,Popoz,Боевик, 85 мин.
,,,Отвергнутая (,,,,,
